county,municipality,ctv,reporting_unit,year,office,district,party,candidate,votes
Ashland,Peeksville,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,8
Ashland,Peeksville,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Ashland,Peeksville,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Ashland,Peeksville,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Ashland,Peeksville,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,Peeksville,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Ashland,Sanborn,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,162
Ashland,Sanborn,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,66
Ashland,Sanborn,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,8
Ashland,Sanborn,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,13
Ashland,Sanborn,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Ashland,Sanborn,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Ashland,Sanborn,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Ashland,Sanborn,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,Sanborn,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,2
